PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Keywords,Abstract,screening_stage,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,transmission_score,transmission_justification,fulltext_status,fulltext_path
34995838,,Paper-based immunoassay based on 96-well wax-printed paper plate combined with magnetic beads and colorimetric smartphone-assisted measure for reliable detection of SARS-CoV-2 in saliva.,"Fabiani L, Mazzaracchio V, Moscone D, Fillo S, De Santis R, Monte A, Amatore D, Lista F, Arduini F.",Biosens Bioelectron. 2022 Mar 15;200:113909. doi: 10.1016/j.bios.2021.113909. Epub 2021 Dec 23.,Fabiani,Biosensors & bioelectronics,2022,2022/1/7,PMC8697482,,10.1016/j.bios.2021.113909,Antigen detection; Biological specimens; Delta variant; Paper-based immunoassay,"Coronavirus disease 2019 (COVID-19) has been recognized as a global pandemic outbreak, opening the most severe socio-economic crisis since World War II. Different scientific activities have been emerged in this global scenario, including the development of innovative analytical tools to measure nucleic acid, antibodies, and antigens in the nasopharyngeal swab, serum, and saliva for prompt identification of COVID-19 patients and to evaluate the immune response to the vaccine. The detection of SARS-CoV-2 in saliva remains a challenge for the lack of sufficient sensitivity. To address this issue, we developed a novel paper-based immunoassay using magnetic beads to support the immunological chain and 96-well wax-printed paper plate as a platform for color visualization by using a smartphone combined with Spotxel free-charge app. To assess the reliability of the measurement of SARS-CoV-2 in saliva, untreated saliva was used as a specimen and the calibration curve demonstrated a dynamic range up to 10 μg/mL, with a detection limit equal to 0.1 μg/mL. The effectiveness of this sustainable analytical tool in saliva was evaluated by comparing the data with the nasopharyngeal swab specimens sampled by the same patients and tested with Real-Time PCR reference method, founding 100% of agreement, even in the case of high Cycle Threshold (CT) numbers (low viral load). Furthermore, the positive saliva samples were characterized by the next-generation sequencing method, demonstrating the capability to detect the Delta variant, which is actually (July 2021) the most relevant variant of concern.",title_abstract,unlikely_candidate,2,"This is an original human diagnostic study on SARS-CoV-2 and mentions Delta variant detection by sequencing, but it does not address transmission timing metrics. There is no indication of serial interval or generation time estimation.",3,"Explicitly about SARS-CoV-2/COVID-19 detection and mentions Delta variant detection via sequencing, but variants are not central beyond demonstrating capability.",3,"Uses saliva and nasopharyngeal swab specimens from patients (humans), with performance compared to RT-PCR.",2,"No specific country/setting is stated in the title/abstract, but the work appears to use real patient specimens (implying a real-world location).",4,"Reports development and evaluation of a saliva antigen immunoassay with calibration/LOD and comparison against RT-PCR in patient samples, plus sequencing to identify Delta.",0,"Focuses on diagnostic assay performance (LOD, agreement with PCR, Ct/viral load) and variant identification; does not mention or estimate serial interval or generation time.",,
35328562,,An Upgrade on the Surveillance System of SARS-CoV-2: Deployment of New Methods for Genetic Inspection.,"Muñoz-Valle JF, Venancio-Landeros AA, Sánchez-Sánchez R, Reyes-Díaz K, Galindo-Ornelas B, Hérnandez-Monjaraz WS, García-Ríos A, García-Ortega LF, Hernández-Bello J, Peña-Rodríguez M, Vega-Magaña N, Delaye L, Díaz-Sánchez M, García-González OP.",Int J Mol Sci. 2022 Mar 15;23(6):3143. doi: 10.3390/ijms23063143.,Muñoz-Valle,International journal of molecular sciences,2022,2022/3/25,PMC8950365,,10.3390/ijms23063143,SARS-CoV-2 epidemiology; SARS-CoV-2 variant identification; genetic surveillance; qPCR variant screening,"SARS-CoV-2 variants surveillance is a worldwide task that has been approached with techniques such as Next Generation Sequencing (NGS); however, this technology is not widely available in developing countries because of the lack of equipment and limited funding in science. An option is to deploy a RT-qPCR screening test which aids in the analysis of a higher number of samples, in a shorter time and at a lower cost. In this study, variants present in samples positive for SARS-CoV-2 were identified with a RT-qPCR mutation screening kit and were later confirmed by NGS. A sample with an abnormal result was found with the screening test, suggesting the simultaneous presence of two viral populations with different mutations. The DRAGEN Lineage analysis identified the Delta variant, but there was no information about the other three mutations previously detected. When the sequenced data was deeply analyzed, there were reads with differential mutation patterns, that could be identified and classified in terms of relative abundance, whereas only the dominant population was reported by DRAGEN software. Since most of the software developed to analyze SARS-CoV-2 sequences was aimed at obtaining the consensus sequence quickly, the information about viral populations within a sample is scarce. Here, we present a faster and deeper SARS-CoV-2 surveillance method, from RT-qPCR screening to NGS analysis.",title_abstract,unlikely_candidate,2,"Although it is clearly about SARS-CoV-2 variants/mutations and appears to provide original empirical lab/surveillance data, it does not report or aim to estimate serial interval or generation time (the key outcomes for the review). Therefore it is very unlikely to be relevant to the transmission-timing parameters of Omicron/Delta.",4,"Explicitly addresses SARS-CoV-2 variant identification and mutations, including Delta lineage determination and mutation screening.",2,"Discusses SARS-CoV-2–positive samples tested via RT-qPCR and confirmed by NGS, implying human clinical/diagnostic specimens, but the abstract does not explicitly state the samples are from humans/patients.",2,"Mentions relevance to developing countries and general surveillance constraints, but provides no specific study location or setting in the abstract.",3,"Reports an empirical study applying RT-qPCR mutation screening with NGS confirmation and deep read analysis on positive samples, including a sample suggesting mixed viral populations.",0,"Focuses on genetic surveillance and variant/mutation detection workflows; no mention of serial interval, generation time, or related transmission-timing estimation.",,
36522786,,Multiplexed evaluation of immunity against SARS-CoV-2 variants using surface enhanced fluorescence from a nanostructured plasmonic chip.,"Hu R, Yang Y, Liu Y, Liao T, Liu Y, Tang J, Wang G, Wang G, Liang Y, Yuan J, Zhang B.",J Nanobiotechnology. 2022 Dec 15;20(1):533. doi: 10.1186/s12951-022-01687-0.,Hu,Journal of nanobiotechnology,2022,2022/12/15,PMC9753017,,10.1186/s12951-022-01687-0,Acquired immunity evaluation; COVID-19; Neutralizing antibodies; SARS-CoV-2; Surface enhanced fluorescence; pGOLD,"Generated by the immune system post-infection or through vaccination, the effectiveness of antibodies against emerging SARS-CoV-2 variants is crucial for protecting individuals from the COVID-19 pandemic. Herein, a platform for the multiplexed evaluation of SARS-CoV-2 neutralizing antibodies against various variants was designed on the basis of near-infrared (NIR) surface enhanced fluorescence by nano-plasmonic gold chip (pGOLD). Antibody level across variants (Wild-type, Alpha, Beta, Delta, Omicron) was confirmed by the sera from recovered-individuals who were unvaccinated and had infected with Wild-type, Delta, Omicron variants. However, the neutralizing activity against Omicron variant was markedly decreased for individuals infected by Wild-type (~ 5.6-fold) and Delta variant (~ 19.1-fold). To the opposite, neutralizing antibody from individuals recovered from Omicron variant infection showed weak binding strength against non-Omicron variants. Antibody evolution over time was studied with individuals 196-530 days post Wild-type infection. Decreasing IgG antibody titer accompanied by increasing IgG binding avidity with elongated post-infection period were observed for the sera from Wild-type recovered-individuals with different post-infection times, suggesting that after the primary infection, a great number of antibodies were generated and then gradually decreased, while the antibody matured over time. By comparing the IgG level of individuals vaccinated for 27-51 days with individual post-infection, we found that ca. 1 month after two doses of vaccination, the antibody level was comparable to that of 500 days post-infection, and vaccination could enhance IgG avidity more efficiently. This work demonstrated a platform for the multiplexed, high-throughput and rapid screening of acquired immunity against SARS-CoV-2 variants, providing a new approach for the analysis of vaccine effectiveness, immunity against emerging variants, and related serological study.",title_abstract,unlikely_candidate,3,"Although the paper is clearly about SARS-CoV-2 variants (including Delta and Omicron) and presents original human serology data, it focuses on immune/antibody evaluation and assay platform development. There is no indication it estimates transmission timing parameters such as serial interval or generation time.",4,"Explicitly studies SARS-CoV-2/COVID-19 and compares immunity across variants (wild-type, Alpha, Beta, Delta, Omicron).",4,"Uses sera from recovered individuals (infected with wild-type/Delta/Omicron) and vaccinated individuals, indicating a human study.",2,Abstract does not state the study setting/country; samples appear to be from human recovered/vaccinated individuals but location is unspecified.,4,Reports original serological measurements (IgG titers/avidity and neutralizing activity) across multiple variants using sera from recovered and vaccinated individuals.,0,"No mention of serial interval, generation time, incubation period, or transmission-pair analyses; outcomes are antibody levels/neutralization/avidity over time.",,
36522750,,Analysis of 394 COVID-19 cases infected with Omicron variant in Shenzhen: impact of underlying diseases to patient's symptoms.,"Zhang P, Cai Z, He Z, Chen P, Wu W, Lin Y, Feng S, Peng L, Li J, Yuan J, Yang L, Wang F, Liu Y, Lu H.",Eur J Med Res. 2022 Dec 15;27(1):291. doi: 10.1186/s40001-022-00927-1.,Zhang,European journal of medical research,2022,2022/12/15,PMC9751512,,10.1186/s40001-022-00927-1,COVID-19 vaccine; IgG antibody; Omicron; SARS-CoV-2,"OBJECTIVES: The emergence of new variants of SARS-CoV-2 is continuously posing pressure to the epidemic prevention and control in China. The Omicron variant of SARS-CoV-2 having stronger infectivity, immune escape ability, and capability causing repetitive infection spread to many countries and regions all over the world including South Africa, United States and United Kingdom etc., in a short time. The outbreaks of Omicron variant also occurred in China. The aim of this study is to understand the epidemiological characteristics of Omicron variant infection in Shenzhen and to provide scientific basis for effective disease control and prevention. METHODS: The clinical data of 394 imported COVID-19 cases infected with Omicron variant from 16 December 2021 to 24 March 2022 admitted to the Third People's hospital of Shenzhen were collected and analyzed retrospectively. Nucleic acid of SARS-CoV-2 of nasopharyngeal swabs and blood samples was detected using 2019-nCoV nucleic acid detection kit. Differences in Ct values of N gene were compared between mild group and moderate group. The specific IgG antibody was detected using 2019-nCoV IgG antibody detection kit. Statistical analysis was done using SPSS software and graphpad prism. RESULTS: Patients were categorized into mild group and moderate group according to disease severity. The data on the general conditions, underlying diseases, COVID-19 vaccination and IgG antibody, viral load, laboratory examination results, and duration of hospitalization, etc., were compared among disease groups. Mild gorup had higher IgG level and shorter nucleic acid conversion time. Patients with underlying diseases have 4.6 times higher probability to progress to moderate infection. CONCLUSION: In terms of epidemic prevention, immunization coverage should be strengthened in the population with underlying diseases. In medical institutions, more attention needs to be paid to such vulnerable population and prevent further deterioration of the disease.",title_abstract,unlikely_candidate,3,"Although this is an original human study explicitly about the Omicron variant, the outcomes are clinical/virologic (severity, Ct values, IgG, nucleic acid conversion time) rather than transmission timing parameters. There is no indication the paper estimates serial interval or generation time, making it unlikely to answer the review question.",4,Explicitly investigates SARS-CoV-2 Omicron variant infections (variant-specific human COVID-19 cases).,4,Study includes 394 imported human COVID-19 cases admitted to a hospital in Shenzhen.,4,"Conducted in Shenzhen, China (Third People’s Hospital of Shenzhen) with a defined study period.",4,Retrospective analysis of clinical and laboratory data from 394 cases; presents original empirical results.,0,"Focuses on clinical severity, Ct values, IgG, and nucleic-acid conversion time; no explicit estimation/reporting of serial interval or generation time.",,
34273397,,Revealing the Threat of Emerging SARS-CoV-2 Mutations to Antibody Therapies.,"Chen J, Gao K, Wang R, Wei GW.",J Mol Biol. 2021 Sep 3;433(18):167155. doi: 10.1016/j.jmb.2021.167155. Epub 2021 Jul 14.,Chen,Journal of molecular biology,2021,2021/7/17,PMC8277955,,10.1016/j.jmb.2021.167155,antibody; clinical trial; deep learning; mutation; variant,"The ongoing massive vaccination and the development of effective intervention offer the long-awaited hope to end the global rage of the COVID-19 pandemic. However, the rapidly growing SARS-CoV-2 variants might compromise existing vaccines and monoclonal antibody (mAb) therapies. Although there are valuable experimental studies about the potential threats from emerging variants, the results are limited to a handful of mutations and Eli Lilly and Regeneron mAbs. The potential threats from frequently occurring mutations on the SARS-CoV-2 spike (S) protein receptor-binding domain (RBD) to many mAbs in clinical trials are largely unknown. We fill the gap by developing a topology-based deep learning strategy that is validated with tens of thousands of experimental data points. We analyze 796,759 genome isolates from patients to identify 606 non-degenerate RBD mutations and investigate their impacts on 16 mAbs in clinical trials. Our findings, which are highly consistent with existing experimental results about Alpha, Beta, Gamma, Delta, Epsilon, and Kappa variants shed light on potential threats of 100 most observed mutations to mAbs not only from Eli Lilly and Regeneron but also from Celltrion and Rockefeller University that are in clinical trials. We unveil, for the first time, that high-frequency mutations R346K/S, N439K, G446V, L455F, V483F/A, F486L, F490L/S, Q493L, and S494P might compromise some of mAbs in clinical trials. Our study gives rise to a general perspective about how mutations will affect current vaccines.",title_abstract,unlikely_candidate,2,"The paper is clearly about SARS-CoV-2 mutations/variants and their impact on monoclonal antibody therapies, using large-scale genomic and experimental data. However, it does not mention or imply estimation of serial interval or generation time; the focus is immune escape/therapy efficacy rather than transmission timing parameters. Therefore it is very unlikely to address the review’s key outcomes.",4,Explicitly addresses SARS-CoV-2/COVID-19 and multiple variants/mutations (RBD mutations; Alpha/Beta/Gamma/Delta etc.).,3,"Uses genome isolates from patients, implying human infections (not animal or in vitro only).",2,"Abstract analyzes SARS-CoV-2 genome isolates from patients, but no specific country/region or setting is provided.",3,"Reports an original deep-learning analysis validated with “tens of thousands of experimental data points” and analyzes 796,759 patient genome isolates (empirical data-based).",0,"No mention of serial interval, generation time, incubation period, or transmission timing; focuses on antibody escape and mutation impacts on mAbs.",,
36397388,,Paxlovid administration in elderly patient with COVID-19 caused by Omicron BA.2.0: A case report.,"Zhang L, Zhang S, Han J, Yi Y, Zhou H, Li J.",Medicine (Baltimore). 2022 Nov 11;101(45):e31361. doi: 10.1097/MD.0000000000031361.,Zhang,Medicine,2022,2022/11/18,PMC9665888,,10.1097/MD.0000000000031361,"[MeSH] Male; [MeSH] Humans; [MeSH] Female; [MeSH] Aged; [MeSH] COVID-19; [MeSH] SARS-CoV-2; [MeSH] Cough; [MeSH] RNA, Viral; [MeSH] Fever; [MeSH] Xerostomia","RATIONALE: Paxlovid has shown the potential decreasing the hospitalization rate of mild or moderate coronavirus disease 2019 (COVID-19) and death in few of clinical trials, and is expected to the most promising medicine targeting Severe Acute Respiratory Syndrome Coronavirus 2 (SRAS-COV-2). However, there are no enough evidences to show it effectiveness for all patients with SARS-COV-2, especially among elderly patients and newest Omicron variant. PATIENT CONCERNS AND DIAGNOSIS: A 79 year's old female patient was admitted to hospital because of the moderate COVID-19 caused by the Omicron variant BA2.0. He presented the initial syndromes including Xerostomia, cough and fever. Chest computed tomography (CT) scanning at admission showed the exudation lesions on lung. The laboratory examination revealed that there are increased C-reactive protein (CRP), Ferritin and erythrocytesedimentationrate (ESR) and decreased white blood cells. INTERVENTIONS: The oral Paxlovid (Nirmatrelvir/Ritonavir) was administrated on second day after admission. OUTCOMES: The syndromes of Xerostomia, cough and fever was improved on third day after use of Paxlovid. The levels of CRP, ESR and counts of white blood cells returned the normal after three days of admission. The chest CT scanned on the third and sixth day after Paxlovid used showed the absorption of lesions. The examination of SARS-COVS viral nucleic acid turned negative at fifth day of admission. LESSONS: As a result, we would consider that Paxlovid is a suitable oral drug for elderly patients with SARS-COV2 even Omicron variant, it's benefit to improve patient's symptom and signs and can prevents COVID-19 with the high-risk factors from severe disease, although it didn't shorten the time for viral nucleic acid to turn negative.",title_abstract,unlikely_candidate,2,"This is a single-patient human case report of COVID-19 caused by Omicron BA.2.0 focused on clinical response to Paxlovid. It does not report or estimate transmission timing metrics (serial interval or generation time), and provides no transmission-chain data; therefore it is unlikely to address the review question.",4,COVID-19/SARS-CoV-2 is central and the Omicron variant BA.2.0 is explicitly stated.,4,Explicitly a human elderly patient (79-year-old) with COVID-19.,2,Hospital admission is described but no geographic location is provided in the title/abstract.,1,"Original clinical data are reported, but it is a single case report (n=1), not transmission data or an analytic study estimating interval parameters.",0,"No mention or estimation of serial interval, generation time, or transmission pairs/chains; focuses on symptoms, labs, imaging, and viral negativity timing.",,
36749632,,Selective suppression of de novo SARS-CoV-2 vaccine antibody responses in patients with cancer on B cell-targeted therapy.,"Azar JH, Evans JP, Sikorski MH, Chakravarthy KB, McKenney S, Carmody I, Zeng C, Teodorescu R, Song NJ, Hamon JL, Bucci D, Velegraki M, Bolyard C, Weller KP, Reisinger SA, Bhat SA, Maddocks KJ, Denlinger N, Epperla N, Gumina RJ, Vlasova AN, Oltz EM, Saif LJ, Chung D, Woyach JA, Shields PG, Liu SL, Li Z, Rubinstein MP.",JCI Insight. 2023 Mar 22;8(6):e163434. doi: 10.1172/jci.insight.163434.,Azar,JCI insight,2023,2023/2/7,PMC10070099,,10.1172/jci.insight.163434,COVID-19; Cancer; Immunoglobulins; Oncology,"We assessed vaccine-induced antibody responses to the SARS-CoV-2 ancestral virus and Omicron variant before and after booster immunization in 57 patients with B cell malignancies. Over one-third of vaccinated patients at the pre-booster time point were seronegative, and these patients were predominantly on active cancer therapies such as anti-CD20 monoclonal antibody. While booster immunization was able to induce detectable antibodies in a small fraction of seronegative patients, the overall booster benefit was disproportionately evident in patients already seropositive and not receiving active therapy. While ancestral virus- and Omicron variant-reactive antibody levels among individual patients were largely concordant, neutralizing antibodies against Omicron tended to be reduced. Interestingly, in all patients, including those unable to generate detectable antibodies against SARS-CoV-2 spike, we observed comparable levels of EBV- and influenza-reactive antibodies, demonstrating that B cell-targeting therapies primarily impair de novo but not preexisting antibody levels. These findings support rationale for vaccination before cancer treatment.",title_abstract,unlikely_candidate,2,"Although it includes SARS-CoV-2 and the Omicron variant and presents original human data, the outcomes are immunologic (antibody/neutralization) rather than transmission timing metrics. There is no indication that serial interval or generation time are estimated or reported.",2,"Addresses SARS-CoV-2 and explicitly mentions the Omicron variant, but the study is immunogenicity/vaccine response rather than variant transmission dynamics (Delta not mentioned).",4,Study involves 57 human patients with B cell malignancies receiving cancer therapies.,2,"No geographic setting is stated in the provided title/abstract/keywords, though it appears to be a real-world clinical cohort.",4,Reports original empirical measurements of antibody responses before/after booster immunization in a defined patient cohort.,0,"Focuses on vaccine-induced antibody and neutralizing responses; no mention of serial interval, generation time, or transmission timing parameters.",,
36315843,,Safety and immunogenicity of inactive vaccines as booster doses for COVID-19 in Türkiye: A randomized trial.,"Omma A, Batirel A, Aydin M, Yilmaz Karadag F, Erden A, Kucuksahin O, Armagan B, Güven SC, Karakas O, Gokdemir S, Altunal LN, Buber AA, Gemcioglu E, Zengin O, Inan O, Sahiner ES, Korukluoglu G, Sezer Z, Ozdarendeli A, Kara A, Ates I.",Hum Vaccin Immunother. 2022 Nov 30;18(6):2122503. doi: 10.1080/21645515.2022.2122503. Epub 2022 Oct 31.,Omma,Human vaccines & immunotherapeutics,2022,2022/10/31,PMC9746394,,10.1080/21645515.2022.2122503,Booster vaccine; COVID-19; CoronaVac; TURKOVAC; inactive,"Protective neutralizing antibody titers reduce in time after COVID-19 vaccinations, as in individuals who have had COVID-19. This study aimed to evaluate the safety and immunogenicity of CoronaVac and TURKOVAC vaccines used as a booster dose after CoronaVac primary vaccination. This double-blind, randomized, controlled, phase II, multicenter study included healthy male and female adults (18-60 years) who were vaccinated with two doses of CoronaVac vaccine and did not exceed the duration of at least 90 days and a maximum of 270 days from the second dose of vaccination. Among 236 eligible volunteers, 222 were recruited for randomization between July 12, 2021 and September 10, 2021; 108 and 114 were randomized to the TURKOVAC and CoronaVac arms, respectively. The primary endpoint was adverse events (AEs) (ClinicalTrials.gov; Identifier: NCT04979949). On day 28, at the neutralizing antibody threshold of 1/6, the positivity rate reached 100% from 46.2% to 98.2% from 52.6% in the TURKOVAC and CoronaVac arms, respectively, against the Wuhan variant and the positivity rate reached 80.6% from 8.7% in the TURKOVAC arm vs. 71.9% from 14.0% in the CoronaVac arm against the Delta variant. IgG spike antibody positivity rate increased from 57.3% to 98.1% and from 57.9% to 97.4% in the TURKOVAC and CoronaVac arms, respectively. The TURKOVAC and CoronaVac arms were comparable regarding the frequency of overall AEs. Both vaccines administered as booster yielded higher antibody titers with acceptable safety profiles.",title_abstract,unlikely_candidate,2,"This is an original human RCT on COVID-19 booster immunogenicity/safety, including results against the Delta variant. However, it does not address transmission timing parameters (serial interval or generation time), focusing instead on antibody titers and adverse events.",3,COVID-19 vaccines evaluated with neutralization reported against Wuhan and Delta variant; SARS-CoV-2 variant is explicitly included (Delta).,4,Includes healthy adult human volunteers (18–60 years) vaccinated with CoronaVac and boosted with TURKOVAC or CoronaVac.,4,Conducted in Türkiye with multicenter recruitment; real-world geographic setting is specified.,4,"Randomized, double-blind phase II multicenter trial reporting safety endpoints and neutralizing antibody/IgG responses with participant numbers and follow-up (day 28).",0,"No mention or estimation of serial interval, generation time, or related transmission-interval metrics; outcomes are immunogenicity (neutralizing antibodies, IgG) and safety (AEs).",,
35917440,,Omicron-associated changes in SARS-CoV-2 symptoms in the United Kingdom.,"Vihta KD, Pouwels KB, Peto TE, Pritchard E, House T, Studley R, Rourke E, Cook D, Diamond I, Crook D, Clifton DA, Matthews PC, Stoesser N, Eyre DW, Walker AS; COVID-19 Infection Survey team.",Clin Infect Dis. 2022 Aug 3;76(3):e133-41. doi: 10.1093/cid/ciac613. Online ahead of print.,Vihta,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2022,2022/8/2,PMC9384604,,10.1093/cid/ciac613,Omicron; SARS-CoV-2; symptoms,"BACKGROUND: The SARS-CoV-2 Delta variant has been replaced by the highly transmissible Omicron BA.1 variant, and subsequently by Omicron BA.2. It is important to understand how these changes in dominant variants affect reported symptoms, while also accounting for symptoms arising from other co-circulating respiratory viruses. METHODS: In a nationally representative UK community study, the COVID-19 Infection Survey, we investigated symptoms in PCR-positive infection episodes vs. PCR-negative study visits over calendar time, by age and vaccination status, comparing periods when the Delta, Omicron BA.1 and BA.2 variants were dominant. RESULTS: Between October-2020 and April-2022, 120,995 SARS-CoV-2 PCR-positive episodes occurred in 115,886 participants, with 70,683 (58%) reporting symptoms. The comparator comprised 4,766,366 PCR-negative study visits (483,894 participants); 203,422 (4%) reporting symptoms. Symptom reporting in PCR-positives varied over time, with a marked reduction in loss of taste/smell as Omicron BA.1 dominated, maintained with BA.2 (44%/45% 17 October 2021, 16%/13% 2 January 2022, 15%/12% 27 March 2022). Cough, fever, shortness of breath, myalgia, fatigue/weakness and headache also decreased after Omicron BA.1 dominated, but sore throat increased, the latter to a greater degree than concurrent increases in PCR-negatives. Fatigue/weakness increased again after BA.2 dominated, although to a similar degree to concurrent increases in PCR-negatives. Symptoms were consistently more common in adults aged 18-65 years than in children or older adults. CONCLUSIONS: Increases in sore throat (also common in the general community), and a marked reduction in loss of taste/smell, make Omicron harder to detect with symptom-based testing algorithms, with implications for institutional and national testing policies.",title_abstract,unlikely_candidate,3,"Although it is clearly about SARS-CoV-2 variants (Delta vs Omicron BA.1/BA.2) in a large human UK dataset with original analyses, the study objective and results are symptom changes rather than transmission timing. There is no indication that serial interval or generation time are estimated or reported.",4,Explicitly investigates SARS-CoV-2 with variant context (Delta vs Omicron BA.1/BA.2) and compares outcomes across variant-dominant periods.,4,"Uses a nationally representative UK community study with human participants (COVID-19 Infection Survey), reporting infection episodes and symptoms.",4,Conducted in the United Kingdom using a national community survey.,4,Reports large original empirical dataset (PCR-positive episodes and PCR-negative visits) with analyses of symptom reporting over time.,0,"Focuses on symptom profiles over time by variant-dominant periods; the abstract does not mention serial interval, generation time, or related transmission-interval estimation.",,
35262094,,Vaccine Breakthrough Infection with the SARS-CoV-2 Delta or Omicron (BA.1) Variant Leads to Distinct Profiles of Neutralizing Antibody Responses.,"Seaman MS, Siedner MJ, Boucau J, Lavine CL, Ghantous F, Liew MY, Mathews J, Singh A, Marino C, Regan J, Uddin R, Choudhary MC, Flynn JP, Chen G, Stuckwisch AM, Lipiner T, Kittilson A, Melberg M, Gilbert RF, Reynolds Z, Iyer SL, Chamberlin GC, Vyas TD, Vyas JM, Goldberg MB, Luban J, Li JZ, Barczak AK, Lemieux JE.",medRxiv [Preprint]. 2022 Mar 3:2022.03.02.22271731. doi: 10.1101/2022.03.02.22271731.,Seaman,medRxiv : the preprint server for health sciences,2022,2022/3/9,PMC8902886,,10.1101/2022.03.02.22271731,,"There is increasing evidence that the risk of SARS-CoV-2 infection among vaccinated individuals is variant-specific, suggesting that protective immunity against SARS-CoV-2 may differ by variant. We enrolled vaccinated (n = 39) and unvaccinated (n = 11) individuals with acute, symptomatic SARS-CoV-2 Delta or Omicron infection and performed SARS-CoV-2 viral load quantification, whole-genome sequencing, and variant-specific antibody characterization at the time of acute illness and convalescence. Viral load at the time of infection was inversely correlated with antibody binding and neutralizing antibody responses. Increases in antibody titers and neutralizing activity occurred at convalescence in a variant-specific manner. Across all variants tested, convalescent neutralization titers in unvaccinated individuals were markedly lower than in vaccinated individuals. For individuals infected with the Delta variant, neutralizing antibody responses were weakest against BA.2, whereas infection with Omicron BA.1 variant generated a broader response against all tested variants, including BA.2.",title_abstract,unlikely_candidate,3,"This is an original human immunology/virology cohort study explicitly comparing Delta vs Omicron BA.1, but it does not mention or indicate estimation of serial interval or generation time (focus is antibody responses and viral load). Therefore it is unlikely to address the review’s key transmission timing parameters.",4,Explicitly studies SARS-CoV-2 Delta and Omicron (BA.1) variants and compares immune responses by variant.,4,Participants are vaccinated and unvaccinated humans with acute symptomatic SARS-CoV-2 infection.,2,No geographic setting is stated in the title/abstract; could be any location but cannot be confirmed from provided text.,4,"Reports an enrolled human cohort (n=50) with laboratory measurements (viral load quantification, sequencing, antibody characterization) indicating original empirical data.",0,The abstract focuses on neutralizing antibody responses and viral load; it does not report or suggest estimation of serial interval or generation time (no contact tracing/transmission pair data).,,
35942746,,Estimating relative generation times and reproduction numbers of Omicron BA.1 and BA.2 with respect to Delta variant in Denmark.,"Ito K, Piantham C, Nishiura H.",Math Biosci Eng. 2022 Jun 21;19(9):9005-9017. doi: 10.3934/mbe.2022418.,Ito,Mathematical biosciences and engineering : MBE,2022,2022/8/9,,,10.3934/mbe.2022418,Omicron-BA.1; Omicron-BA.2; SARS-CoV-2; relative generation time; relative reproduction number,"The Omicron variant spreads fastest as ever among the severe acute respiratory syndrome coronaviruses 2 (SARS-CoV-2) we had so far. The BA.1 and BA.2 sublineages of Omicron are circulating worldwide and it is urgent to evaluate the transmission advantages of these sublineages. Using a mathematical model describing trajectories of variant frequencies that assumes a constant ratio in mean generation times and a constant ratio in effective reproduction numbers among variants, trajectories of variant frequencies in Denmark from November 22, 2021 to February 26, 2022 were analyzed. We found that the mean generation time of Omicron BA.1 is 0.44-0.46 times that of Delta and the effective reproduction number of Omicron BA.1 is 1.88-2.19 times larger than Delta under the epidemiological conditions at the time. We also found that the mean generation time of Omicron BA.2 is 0.76-0.80 times that of BA.1 and the effective reproduction number of Omicron BA.2 is 1.25-1.27 times larger than Omicron BA.1. These estimates on the ratio of mean generation times and the ratio of effective reproduction numbers have epidemiologically important implications. The contact tracing for Omicron BA.2 infections must be done more quickly than that for BA.1 to stop further infections by quarantine. In the Danish population, the control measures against Omicron BA.2 need to reduce 20-21% of additional contacts compared to that against BA.1.",title_abstract,strong_candidate,4,"Directly estimates (relative) mean generation times for Omicron BA.1 and BA.2 compared with Delta using Denmark data, which aligns closely with the review’s focus on generation time/serial interval by variant. Empirical variant-frequency data are analyzed to infer generation-time ratios and reproduction-number ratios.",4,Explicitly focuses on SARS-CoV-2 variants Omicron (BA.1/BA.2) and Delta and compares their transmission characteristics.,4,"Refers to trajectories in the Danish population, implying human transmission dynamics at population level.",4,Study explicitly analyzes trajectories of variant frequencies in Denmark (Nov 2021–Feb 2022).,3,Reports original estimates using a mathematical model fit to observed variant-frequency trajectories in Denmark; not a review/commentary.,4,Central outcomes include mean generation time ratios and effective reproduction number ratios for BA.1 and BA.2 relative to Delta/BA.1.,,
